New York;23.5
Los Angeles;18.3
Chicago;15.2
Houston;27.8
Phoenix;30.1
Philadelphia;20.4
San Antonio;25.6
San Diego;22.7
Dallas;26.3
San Jose;19.8
Austin;28.4
Jacksonville;24.1
Fort Worth;26.0
Columbus;17.5
Charlotte;21.3
San Francisco;18.9
Indianapolis;16.7
Seattle;14.8
Denver;19.2
Washington;22.1
Boston;16.4
El Paso;29.0
Nashville;23.0
Detroit;15.6
Oklahoma City;25.3
Portland;17.8
Las Vegas;31.2
Memphis;24.5
Louisville;22.0
Baltimore;20.7
Milwaukee;14.9
Albuquerque;27.1
Tucson;29.4
Fresno;28.0
Sacramento;26.7
Kansas City;21.9
Long Beach;20.2
Mesa;30.5
Atlanta;23.8
Colorado Springs;18.6
Virginia Beach;22.4
Raleigh;21.7
Omaha;19.5
Miami;28.7
Oakland;19.1
Minneapolis;14.3
Tulsa;24.9
Wichita;23.2
New Orleans;26.8
Arlington;25.1
Cleveland;16.2
Tampa;27.4
Bakersfield;27.6
Aurora;18.0
Honolulu;29.8
Anaheim;21.0
Santa Ana;20.6
Corpus Christi;28.2
Riverside;22.9
Lexington;21.5
Stockton;25.8
Henderson;30.3
Saint Paul;14.5
St. Louis;22.6
Cincinnati;18.4
Pittsburgh;17.1
Greensboro;20.9
Anchorage;10.7
Plano;26.5
Lincoln;19.3
Orlando;27.0
Irvine;21.2
Newark;19.6
Toledo;16.9
Durham;21.1
Chula Vista;22.5
Fort Wayne;17.3
Jersey City;19.4
St. Petersburg;27.2
Laredo;29.6
Madison;15.0
Chandler;30.0
Buffalo;14.1
Lubbock;28.9
Scottsdale;30.7
Reno;26.1
Glendale;29.2
Gilbert;29.9
Winston-Salem;20.5
North Las Vegas;31.0
Norfolk;22.3
Chesapeake;22.8
Garland;25.4
Irving;25.7
Hialeah;28.5
Fremont;19.0
Boise;23.1
Richmond;21.8
Baton Rouge;26.6
Spokane;17.6
Des Moines;18.8
Tacoma;15.4
San Bernardino;23.9
Modesto;26.4
Fontana;24.3
Santa Clarita;22.2
Birmingham;24.7
Oxnard;21.4
Fayetteville;20.8
Moreno Valley;23.6
Rochester;15.8
Glendale;29.1
Huntington Beach;20.1
Salt Lake City;19.7
